title,year,rating,genre,synopsis
O Lobo de Wall Street,2013,8.2,"Biografia, Comédia, Drama","Baseada na verdadeira história de Jordan Belfort, desde sua ascensão como corretor de valores até a sua queda e envolvimento no crime e corrupção com o governo."
Hababam Sinifi Sinifta Kaldi,1975,8.6,Comédia,A young and beautiful female teacher starts working in an all boys high school.
Green Book: O Guia,2018,8.2,"Biografia, Comédia, Drama",Um valentão ítalo-americano se torna o motorista de um pianista afro-americano em um tour no sul dos Estados Unidos nos anos sessenta.
O Show de Truman: O Show da Vida,1998,8.2,"Comédia, Drama",Um vendedor de seguros descobre que sua vida é um programa de televisão.
Hamilton,2020,8.3,"Biografia, Drama, História, Musical","A vida de um dos maiores fundadores e primeiro secretário do Tesouro da América, Alexander Hamilton."
Taxi Driver: Motorista de Táxi,1976,8.2,Drama,"Um veterano de guerra mentalmente instável trabalha à noite como taxista na cidade de Nova York, onde a decadência e o desprezo alimentam seu desejo de ação violenta."
Batman Begins,2005,8.2,"Ação, Drama, Suspense","Após testemunhar a morte dos pais, o bilionário Bruce Wayne aprende a arte de lutar para confrontar a injustiça. Quando ele retorna a Gotham como Batman, ele deve deter uma sociedade secreta que pretende destruir a cidade."
Por uns Dólares a Mais,1965,8.2,Drama,Dois caçadores de recompensas com as mesmas intenções se reúnem para encontrar um criminoso ocidental.
Julgamento em Nuremberg,1961,8.3,"Drama, Guerra, História","Em 1948, um tribunal dos Estados Unidos na Alemanha ocupada julga quatro nazistas por crimes de guerra."
Ilha do Medo,2010,8.2,"Drama, Mistério, Suspense","Em 1954, um policial federal dos Estados Unidos investiga o desaparecimento de um assassino que escapou de um hospital psiquiátrico."
Quanto Mais Quente Melhor,1959,8.2,"Comédia, Romance","Dos músicos son testigos de un crimen y se dan a la fuga disfrazados de mujeres en una banda femenina, pero las cosas se complican."
Jurassic Park: O Parque dos Dinossauros,1993,8.2,"Ação, Aventura, Ficção científica, Suspense","Um milionário traz à vida dinossauros extintos há milhares de anos, criando um imenso parque. Mas os gigantes pré-históricos começam a ameaçar a vida dos visitantes."
O Garoto,1921,8.2,"Comédia, Drama, Família","Um mendigo cuida de uma criança abandonada, mas os eventos ameaçam esse relacionamento."
Meu Pai,2020,8.2,"Drama, Mistério","Um homem recusa toda a ajuda de sua filha à medida que envelhece. Enquanto ele tenta entender o que está acontecendo ao seu redor, ele começa a duvidar dos seus entes queridos, da sua mente e até mesmo da estrutura de sua realidade."
A Malvada,1950,8.2,Drama,"Uma ingênua se insinua na vida de uma atriz de teatro, e de seu círculo de amigas de teatro."
Sangue Negro,2007,8.2,Drama,"Uma história sobre familia, religião, ódio e loucura, centrada na vida de um explorador de petróleo nos primeiros anos do negócio."
O Sexto Sentido,1999,8.2,"Drama, Mistério, Suspense",Um menino que consegue se comunicar com espíritos encontra ajuda de um psicólogo.
Ran,1985,8.2,"Ação, Drama, Guerra","No Japão medieval, um senhor feudal decide abdicar e entregar seus domínios aos seus três filhos. Mas ele não é capaz de ver que esses novos poderes irão corrompê-los e levá-los a enfrentar um ao outro, e contra ele."
Cassino,1995,8.2,Drama,"Uma história de ganância, dinheiro e assassinato acontece entre dois melhores amigos: um mafioso e um executivo de cassino, que competem uns com os outros por um império de jogo e pelo amor de uma socialite."
Top Gun: Maverick,2022,8.2,"Ação, Drama","Após mais de trinta anos de serviço como um dos melhores aviadores da Marinha, Pete Mitchell está onde pertence, ultrapassando os limites como um piloto de teste intrépido e evitando a promoção de posto que o manteria em terra."
Onde os Fracos Não Têm Vez,2007,8.2,"Drama, Suspense",Violência e caos surgem quando um caçador se depara com uma negociação de drogas que deu errado e mais de dois milhões de dólares perto do Rio Grande.
O Enigma de Outro Mundo,1982,8.2,"Ficção científica, Mistério",Uma equipe de pesquisa na Antártica é caçada por um alienígena que muda de forma e assume a aparência de suas vítimas.
Os Imperdoáveis,1992,8.2,Drama,"O atirador do Velho Oeste, William Munny, relutantemente aceita um último trabalho com a ajuda de seu antigo amigo e um jovem."
O Labirinto do Fauno,2006,8.2,"Drama, Fantasia, Guerra","Na Espanha de 1944, a filha dum oficial do exército escapa a um mundo de fantasia."
Kill Bill: Volume 1,2003,8.2,"Ação, Suspense","Depois de despertar de um coma de quatro anos, uma antiga assassina busca vingança contra o grupo de assassinos que a traiu."
Uma Mente Brilhante,2001,8.2,"Biografia, Drama, Mistério",A vida do brilhante mas insociável matemático John Nash muda quando ele aceita um trabalho secreto em criptografia.
Os Suspeitos,2013,8.2,"Drama, Mistério, Suspense","Quando a filha de Keller Dover e sua amiguinha desaparecem, ele decide investigar o caso por sua conta enquanto a polícia segue múltiplas pistas e a pressão para resolver o caso aumenta."
O Tesouro da Sierra Madre,1948,8.2,"Aventura, Drama",Dois americanos em busca de trabalho no México convencem um homem a ajudá-los a extrair ouro nas montanhas da Serra Madre.
Procurando Nemo,2003,8.2,"Animação, Aventura, Comédia, Família","Quando seu filho é capturado, um peixe-palhaço tímido embarca em uma viagem para trazê-lo para casa."
"Yojimbo, o Guarda-Costas",1961,8.2,"Ação, Drama, Suspense",Um astuto ronin chega a uma cidade dividida por duas quadrilhas criminosas e decide se confrontar para libertar a cidade.
O Castelo Animado,2004,8.2,"Animação, Aventura, Família, Fantasia",Uma jovem sem autoconfiança é amaldiçoada com um corpo envelhecido por uma bruxa odiosa. Sua única chance de quebrar o feitiço é um jovem feiticeiro em um castelo itinerante.
O Melhor da Juventude,2003,8.4,"Drama, Romance","Um épico italiano que segue a vida de dois irmãos, das décadas de 1960 a 2000."
Fugindo do Inferno,1963,8.2,"Aventura, Drama, Guerra, Suspense",Prisioneiros de guerra aliados planejam uma fuga maciça de um campo alemão durante a Segunda Guerra Mundial.
Monty Python em Busca do Cálice Sagrado,1975,8.2,"Aventura, Comédia, Fantasia","O Rei Arthur e seus Cavaleiros da Távola Redonda embarcam em uma busca surrealista e de baixo orçamento pelo Santo Graal, encontrando múltiplos obstáculos estúpidos."
O Homem Elefante,1980,8.2,"Biografia, Drama","Um cirurgião vitoriano resgata um homem gravemente desfigurado que é maltratado enquanto tenta sobreviver como uma atração de circo. Por trás de sua aparência monstruosa, revela-se uma pessoa de bondade, inteligência e sofisticação."
Klaus,2019,8.2,"Animação, Aventura, Comédia, Família, Fantasia","Um simples ato de bondade sempre provoca outro, mesmo em um lugar gelado e distante. Quando o novo carteiro de Smeerensburg faz amizade com o fabricante de brinquedos Klaus, seus presentes derreteram uma antiga inimizade."
Disque M para Matar,1954,8.2,"Drama, Mistério, Suspense","Um ex-tenista decide matar a esposa para herdar o dinheiro dela e se vingar de um caso que ela havia tido. A fim de se livrar de culpas, usa um antigo colega de faculdade. Mas as coisas não vão correr como estava planeado."
...E o Vento Levou,1939,8.2,"Drama, Guerra, Romance",Uma jovem sulista e manipuladora e um aventureiro oportunista se enfrentam em um romance turbulento enquanto a sociedade ao seu redor desmorona com o fim da escravidão e é reconstruída durante os períodos da Guerra Civil e da Reconstrução.
O Segredo dos Seus Olhos,2009,8.2,Drama,"Um assessor jurídico aposentado escreve um romance com a esperança de fechar um de seus antigos casos de homicídio, que permanece sem solução, e superar o amor não correspondido que sentia por seu chefe. Décadas depois, ambas as memórias continuam a persegui-lo."
Chinatown,1974,8.1,"Drama, Mistério, Suspense","Um detetive particular contratado para desmascarar um adúltero é pego em uma teia de fraude, corrupção e assassinato."
"Jogos, Trapaças e Dois Canos Fumegantes",1998,8.1,Comédia,"Um jogo de cartas em Londres desencadeia um confronto entre quatro amigos, plantadores de maconha, agiotas e cobradores de dívidas em uma série de eventos curiosos, tudo por algo de maria, dinheiro e duas pistolas antigas."
V de Vingança,2005,8.1,"Ação, Drama, Ficção científica, Suspense","Em um futuro da tirania britânica, um lutador clandestino conhecido como V trama um plano para derrubá-la com a ajuda de uma jovem mulher."
Rashomon,1950,8.1,"Drama, Mistério","A violação de uma noiva e o assassinato de seu marido samurai são lembrados desde a perspectiva de um bandido, da noiva, do fantasma do samurai e de um lenhador."
Divertida Mente,2015,8.1,"Animação, Aventura, Comédia, Drama, Família","Depois que a jovem Riley é arrancada de sua vida no Centro-Oeste e se muda para São Francisco, suas emoções - Alegria, Medo, Raiva, Nojinho e Tristeza - entram em conflito sobre a melhor forma de navegar em uma nova cidade, casa e escola."
Três Anúncios para um Crime,2017,8.1,"Comédia, Drama",Uma mãe desafia pessoalmente as autoridades locais para resolver o assassinato de sua filha.
Prenda-Me se for Capaz,2002,8.1,"Biografia, Drama","Um agente do FBI persegue Frank Abagnale, que antes de seus 19 anos consegue ganhar milhões de dólares fingindo ser um piloto, um médico e um advogado."
Trainspotting: Sem Limites,1996,8.1,Drama,"Renton, profundamente imerso no mundo das drogas em Edimburgo, tenta sair do ambiente apesar da má influência dos amigos."
A Ponte do Rio Kwai,1957,8.1,"Aventura, Drama, Guerra","Depois de resolver suas diferenças com um japonês, o comandante do campo, um coronel britânico, coopera para supervisionar a construção de uma ponte ferroviária."
Touro Indomável,1980,8.1,"Biografia, Drama","A vida do boxeador Jake LaMotta, cuja violência e temperamento que o levaram até o topo dos ringues destruíram a sua vida fora deles."
Harry Potter e as Relíquias da Morte - Parte 2,2011,8.1,"Aventura, Família, Fantasia, Mistério","Conforme a batalha entre as forças do bem e do mal no mundo bruxo aumenta de proporções, Harry Potter se aproxima cada vez mais do confronto final com Voldemort."
Fargo: Uma Comédia de Erros,1996,8.1,"Drama, Suspense",O crime de Jerry Lundegaard se desfaz devido à falta de sorte dele e de seus colegas e ao persistente trabalho polícia.
Robô Selvagem,2024,8.2,"Animação, Aventura, Família, Ficção científica","Após um naufrágio, um robô inteligente chamado Roz fica preso em uma ilha desabitada. Para sobreviver ao ambiente hostil, Roz se une aos animais da ilha e cuida de um ganso bebê órfão."
Guerreiro,2011,8.1,"Ação, Drama","O filho pequeno de um exboxer alcoólatra volta para casa, onde seu pai o treina para um torneio de artes marciais mistas."
Sociedade dos Poetas Mortos,1989,8.1,"Comédia, Drama",O professor de Inglés John Keating inspira a seus estudantes a ver a poesia duma perspectiva diferente.
Menina de Ouro,2004,8.1,Drama,Uma mulher determinada se prepara para se tornar numa pugilista profissional.
Gran Torino,2008,8.1,Drama,"Walt Kowalski, um ranzinza veterano da guerra da Coreia, tenta dar uma lição em seu vizinho quando este tentar roubar seu bem mais precioso: um Gran Torino de 1972."
Ben-Hur,1959,8.1,"Aventura, Drama","Quando um príncipe de Jerusalém é traído e enviado à escravidão por um amigo romano, ele recupera sua liberdade e retorna para se vingar."
Mad Max: Estrada da Fúria,2015,8.1,"Ação, Aventura","Em um mundo pós-apocalíptico, uma mulher se rebela contra um governante tirânico em busca de sua terra natal com a ajuda de um grupo de prisioneiras, um adorador psicótico e um nômade chamado Max."
Barry Lyndon,1975,8.1,Aventura,Um irlandês conquista o coração de uma viúva rica e assume a posição aristocrática de seu falecido marido na Inglaterra do século XVIII.
Meu Amigo Totoro,1988,8.1,"Animação, Aventura, Comédia, Família, Fantasia","Quando duas meninas se mudam para o campo para ficar perto de sua mãe doente, elas têm aventuras com os maravilhosos espíritos da floresta que moram nas proximidades."
Filhos do Paraíso,1997,8.2,"Drama, Família","Depois que uma criança perde o par de sapatos de sua irmã, ele embarca em uma série de aventuras para encontrá-los. Quando não consegue, ele tenta uma nova maneira de procurá-los."
Até o Último Homem,2016,8.1,"Biografia, Drama, Guerra, História","O médico amaericano da Segunda Guerra Mundial, Desmond T. Doss, se recusa a matar pessoas e se torna o primeiro homem na história dos Estados Unidos a receber a Medalha de Honra sem atirar um tiro."
O Grande Hotel Budapeste,2014,8.1,"Comédia, Drama","As aventuras de Gustave H, um lendário porteiro dum famoso hotel da ficcional República de Zubrowka entre a primeira y a segunda guerra mundial."
12 Anos de Escravidão,2013,8.1,"Biografia, Drama, História","Solomon Northup, um homem preto livre de Nova Iorque, é raptado e vendido como escravo."
Antes do Amanhecer,1995,8.1,"Comédia, Drama, Romance",Um jovem e uma mulher se conhecem num trem em Europa é passam uma noite juntos em Viena.
Homem-Aranha: Sem Volta para Casa,2021,8.2,"Ação, Aventura, Fantasia, Ficção científica","Com a identidade de Homem-Aranha revelada, Peter Parker pede ajuda ao Doutor Estranho. Quando um feitiço dá errado, inimigos de outros mundos começam a aparecer, forçando Peter a descobrir o que realmente significa ser o Homem-Aranha."
Blade Runner: O Caçador de Andróides,1982,8.1,"Ação, Drama, Ficção científica, Suspense",Um blade runner deve perseguir e eliminar quatro replicantes que roubaram uma nave no espaço e retornaram à Terra para encontrar seu criador.
Memórias de um Assassino,2003,8.1,"Drama, Mistério, Suspense","Em uma pequena província coreana em 1986, três detetives estão procurando o culpado de uma série de estupros e assassinatos de mulheres jovens."
Garota Exemplar,2014,8.1,"Drama, Mistério, Suspense","Desde que o desaparecimento de sua esposa se tornou o foco de um intenso circo da mídia, um homem vê como esta se concentra nele quando suspeitam que pode não ser inocente."
Ratatouille,2007,8.1,"Animação, Aventura, Comédia, Família, Fantasia",Um rato que pode cozinhar forja uma aliança incomum com um jovem garoto em um famoso restaurante em Paris.
Como Treinar o Seu Dragão,2010,8.1,"Ação, Animação, Aventura, Família, Fantasia","Um jovem e desafortunado viking que aspira a caçar dragões se torna o improvável amigo de um jovem dragão, e descobre que pode haver mais nas criaturas do que ele supunha."
Monstros S.A.,2001,8.1,"Animação, Aventura, Comédia, Família","Para poder dar electricidade a sua cidade, os monstros tem que assustar a crianças. Pensando que as crianças são perigosas para eles, dois monstros acham que as coisas podem ser diferentes."
Tubarão,1975,8.1,"Aventura, Suspense","Quando um tubarão desencadea caos numa praia, um xerife, um biologista e um marinheiro daram caça ao animal."
Em Nome do Pai,1993,8.1,"Biografia, Drama","Em 1974, uma explosão a bomba acontece em Guilford, próximo de Londres. Gerry Conlon e amigos são acusados pelo crime e presos. Giuseppe Conlon, pai de Gerry, pede ajuda à advogada Gareth Peirce, que investiga as irregularidades do caso."
Relatos Selvagens,2014,8.1,"Comédia, Drama, Suspense",Sies historias curtas que exploram o comportamento humano de pessoas desesperadas.
Em Busca do Ouro,1925,8.1,"Aventura, Comédia, Drama, Romance",Um garimpeiro vai ao Klondike em busca de ouro e encontra muito mais que isso.
Ford vs. Ferrari,2019,8.1,"Ação, Biografia, Drama","Um designer de carros e um motorista combatem a interferência corporativa, as leis da física e seus próprios demônios pessoais para construir um carro de corrida revolucionário para a Ford e desafiar a Ferrari nas 24 Horas de Le Mans em 1966."
Bancando o Águia,1924,8.1,"Ação, Comédia, Romance",Um projecionista de cinema deseja ser um detetive e coloca suas magras habilidades em prática quando um rival o incrimina por roubar o relógio de bolso do pai de sua namorada.
Mary e Max - Uma Amizade Diferente,2009,8.1,"Animação, Comédia, Drama","Relata a estranha história de uma amizade entre dois amigos por correspondência: Mary, uma garota solitária de oito anos que vive nos subúrbios de Melbourne, e Max, um homem obeso de quarenta e quatro anos que vive em Nova York."
O Franco Atirador,1978,8.1,"Drama, Guerra",Um retrato detalhado das maneiras pelas quais a Guerra do Vietnã interrompeu a vida dos habitantes de uma pequena cidade industrial na Pensilvânia.
O Salário do Medo,1953,8.1,"Aventura, Drama, Suspense","Em uma aldeia da América do Sul, quatro homens são contratados para transportar uma remessa urgente de nitroglicerina, mas sem o equipamento de segurança."
A General,1926,8.1,"Ação, Aventura, Comédia, Drama, Guerra","Uns espiões roubam a amada locomotiva de um engenheiro, ele a persegue sozinho através das linhas inimigas."
A Mulher Faz o Homem,1939,8.1,"Comédia, Drama","Um homem ingênuo é eleito para ocupar uma vaga no Senado dos Estados Unidos. Seus planos colidem rapidamente com a corrupção política, mas ele não desiste."
Logan,2017,8.1,"Ação, Drama, Ficção científica, Suspense","Em um futuro em que os mutantes estão quase extintos, um velho e cansado Logan leva uma vida tranquila. Mas quando Laura, uma garota mutante perseguida por cientistas, pede ajuda a ele, ele deve colocá-la em segurança."
Sindicato de Ladrões,1954,8.1,"Drama, Suspense","Um ex-pugilista de Nova Jersey, agora um operário portuário, luta para enfrentar seus chefes sindicais corruptos, incluindo seu irmão mais velho, enquanto começa a se conectar com a irmã de uma das vítimas do sindicato."
"Rocky, um Lutador",1976,8.1,Drama,Um boxer pouco conhecido tem uma grande oportunidade de enfrentar o campeão dos pesos pesados em uma partida em que ele esperaele espera estar à altura da tarefa e divulgar seu nome.
Morangos Silvestres,1957,8.1,"Drama, Romance","Depois de viver uma vida marcada pela frieza, um professor idoso é forçado a confrontar o vazio de sua existência."
Era uma Vez em Tóquio,1953,8.1,Drama,"Um casal de idosos viaja para Tóquio para visitar seus filhos, mas encontram indiferença, ingratidão e uma marcada diferença cultural. Quando os idosos voltam para casa, entramos em uma profunda reflexão sobre a mortalidade e a família."
O 3º Homem,1949,8.1,"Drama, Mistério, Suspense","O romancista Holly Martins viaja para sombria, Viena pós-guerra, apenas para ele mesmo investigar a misteriosa morte de um velho amigo, Harry Lime"
Spotlight: Segredos Revelados,2015,8.1,"Biografia, Drama",A verdadeira historia de como o jornal Boston Globe revelou o escândalo de abuso sexual infantil dentro da igreja católica da cidade e que agitou a toda igreja católica no mundo.
O Mistério da Lixeira,2024,8.4,"Ação, Drama, Suspense","Um barbeiro busca vingança depois que sua casa é assaltada, dizendo enigmaticamente à polícia que sua ""lakshmi"" foi levada, deixando-os incertos se é uma pessoa ou um objeto. Sua busca para recuperar a elusiva ""lakshmi"" se desenrola."
Piratas do Caribe: A Maldição do Pérola Negra,2003,8.1,"Ação, Aventura, Fantasia","O ferreiro Will Turner se une ao excêntrico pirata ""Capitão"" Jack Sparrow para salvar Elizabeth Swann, a filha do governador e seu amor, dos ex-aliados piratas de Jack, que agora são mortos-vivos."
O Exterminador do Futuro,1984,8.1,"Ação, Aventura, Ficção científica","Um assassino ciborgue do futuro tenta encontrar e matar Sarah Connor, uma garçonete que está destinada a ser a mãe de um homem que salvará a humanidade da extinção."
O Grande Lebowski,1998,8.1,Comédia,"Jeff The Dude Lebowski, foi confundido por um millonário do mesmo nome e procurará restituçao com a ajuda do seus amigos."
O Ódio,1995,8.1,Drama,24 horas na vida de três jovens nos subúrbios franceses no dia seguinte a uma rebelião violenta.
Jai Bhim,2021,8.6,Drama,"Quando um homem tribal é preso por um caso de suposto roubo, sua esposa recorre a um advogado de direitos humanos para ajudá-lo a fazer justiça."
O Sétimo Selo,1957,8.1,"Drama, Fantasia","Um homem procura respostas sobre a vida, a morte e a existência de Deus enquanto joga xadrez contra a morte durante a Morte Negra."
O Quarto de Jack,2015,8.1,"Drama, Suspense","Um menino é mantido preso em um quarto com sua mãe desde seu nascimento, por isso sua visão do mundo é muito reduzida."
Hotel Ruanda,2004,8.1,"Biografia, Drama, Guerra, História",Paul Rusesabagina era o gerente de um hotel que abrigava mais de mil refugiados tutsis durante sua luta contra a milícia hutu em Ruanda.
Platoon,1986,8.1,"Drama, Guerra","Um jovem recruta no Vietnã, se vê preso em uma batalha de vontades entre dois sargentos, um bom e outro mau. Um exame perspicaz da brutalidade da guerra e da dualidade do homem em conflito."
Os Melhores Anos de Nossas Vidas,1946,8.1,"Drama, Guerra, Romance",Três veteranos da Segunda Guerra Mundial voltam para casa na cidade pequena da América para descobrir que eles e suas famílias foram mudados irreparavelmente.
Antes do Pôr do Sol,2004,8.1,"Drama, Romance","Nove anos depois de se conhecer, o Jesse e a Celine se encontram novamente na França."
A Noviça Rebelde,1965,8.1,"Biografia, Drama, Família, Musical, Romance",Uma mulher deixa um convento austríaco para se tornar a instrutora dos filhos de um oficial da marinha viúvo.
O Exorcista,1973,8.1,N/A,"Quando uma adolescente é possuída por uma entidade misteriosa, sua mãe busca a ajuda de dois padres católicos para salvar sua vida."
Os Incríveis,2004,8.0,"Ação, Animação, Aventura, Família",Uma familia de heróis encobertos tentando viver uma vida tranquila se vem obrigados a salvar o mundo.
Sempre ao Seu Lado,2009,8.1,"Biografia, Drama, Família",Um professor universitário se liga a um cachorro abandonado que ele leva para casa.
Rush: No Limite da Emoção,2013,8.1,"Biografia, Drama",A história da rivalidade impiedosa nos anos 70 entre os rivais de Fórmula 1 James Hunt e Niki Lauda.
O Mágico de Oz,1939,8.1,"Aventura, Família, Fantasia, Musical",A Dorothy Gale é levada por um tornado até a mágica cidade de Oz e vá numa viagem com novos amigos que la ajudar a voltar para casa.
A Voz do Silêncio,2016,8.1,"Animação, Drama","Um jovem é excluído por seus colegas depois de intimidar uma menina surda ao ponto de mudar de escola. Anos depois, ele parte para o caminho da redenção."
O Martírio de Joana D'Arc,1928,8.1,"Biografia, Drama, História","Em 1431, Joana D'Arc é julgada sob acusações de heresia. Os advogados da Igreja tentam forçar Jeanne a retractar suas reivindicações de visões sagradas."
Conta Comigo,1986,8.1,"Aventura, Comédia, Drama","Depois da morte de um de seus velhos amigos, um escritor relembra sua viagem com os amigos de infância para encontrar o corpo de um menino desaparecido."
O Gigante de Ferro,1999,8.1,"Ação, Animação, Aventura","Um jovem faz amizade com um robô gigante do espaço, um paranóico agente do governo quer que seja destruído."
Meu Pai e Meu Filho,2005,8.2,"Drama, Família",A família de um jornalista de esquerda é separada após o golpe militar na Turquia em 1980.
A Criada,2016,8.1,"Drama, Romance, Suspense","Uma mulher é contratada como criada de uma herdeira japonesa, mas secretamente esta envolvida em um plano para defraudá-la."
Rede de Intrigas,1976,8.1,Drama,Uma rede de televisão explora os delírios e revelações de um homem perturbado.
A Batalha de Argel,1966,8.1,"Drama, Guerra","Nos anos 1950, o medo e a violência aumentam à medida que o povo da Argélia luta pela independência do governo francês."
As Vinhas da Ira,1940,8.1,Drama,"Uma família pobre no Centro-Oeste é forçada a abandonar suas terras. Eles viajam para a Califórnia, sofrendo os infortúnios dos sem-teto na Grande Depressão."
Ser ou Não Ser,1942,8.1,"Comédia, Guerra, Romance","Durante a ocupação nazista da Polônia, uma trupe de atuação se envolve nos esforços de um soldado polonês para rastrear um espião alemão."
Gangues de Wasseypur,2012,8.2,"Ação, Comédia, Drama, Suspense",Um confronto entre Sultão e Shahid Khan leva à expulsão de Khan de Wasseypur e acende uma rivalidade mortal que se estende por três gerações.
Na Natureza Selvagem,2007,8.0,"Aventura, Biografia, Drama","Depois de terminar a universidade, Christopher McCandless deixa pra trás suas posses e vai para o Alasca viver na natureza."
Demon Slayer: Mugen Train - O Filme,2020,8.2,"Ação, Animação","Tanjiro, Inosuke e Zenitsu são enviados pelo comando do Esquadrão de Exterminadores para uma missão no Trem Infinito, onde devem se encontrar com o Pilar das Chamas, Rengoku, e impedir um oni que está fazendo inúmeras vítimas."
Histórias Cruzadas,2011,8.1,Drama,Uma aspirante a escritora durante o movimento dos direitos civis nos anos 60 nos Estados Unidos decide escrever um livro sobre as experiências das criadas negras que trabalhavam para as famílias brancas.
Troca Surpresa,2023,8.3,"Comédia, Drama","Trocadas por acidente enquanto viajavam até a casa dos novos maridos, duas mulheres recém-casadas vivem histórias inesquecíveis."
Feitiço do Tempo,1993,8.0,"Comédia, Drama, Fantasia, Romance",Um homem vive o mesmo dia uma e outra vez.
